team_id,season,Away,Home,diff
DET,2010,0.625,0.875,0.25
DET,2011,0.375,0.5,0.125
DET,2012,0.375,0.375,0
DET,2013,0.375,0.375,0
DET,2014,0.285714285714286,0.625,0.339285714285714
DET,2015,0.571428571428571,0.375,-0.196428571428571
DET,2016,0.375,0.625,0.25
DET,2017,0.5,0.5,0
DET,2018,0.75,0.375,-0.375
DET,2019,0.25,0.5,0.25
GB,2000,0.5,0.5,0
GB,2001,0.5,0.625,0.125
GB,2002,0.375,0.625,0.25
GB,2003,0.625,0.625,0
GB,2004,0.625,0.25,-0.375
GB,2005,0.125,0.375,0.25
GB,2006,0.625,0.25,-0.375
GB,2007,0.75,0.75,0
GB,2008,0.625,0.375,-0.25
GB,2009,0.75,0.625,-0.125
GB,2010,0.5,0.625,0.125
GB,2011,0.5,0.875,0.375
GB,2012,0.5,0.625,0.125
GB,2013,0.375,0.375,0
GB,2014,0.375,0.75,0.375
GB,2015,0.625,0.5,-0.125
GB,2016,0.5,0.625,0.125
GB,2017,0.5,0.375,-0.125
GB,2018,0.25,0.5,0.25
GB,2019,0.625,0.625,0
HOU,2002,0.5,0.375,-0.125
HOU,2003,0.375,0.75,0.375
HOU,2004,0.5,0.5,0
HOU,2005,0.625,0.25,-0.375
HOU,2006,0.375,0.5,0.125
HOU,2007,0.25,0.75,0.5
HOU,2008,0.5,0.625,0.125
HOU,2009,0.625,0.25,-0.375
HOU,2010,0.25,0.375,0.125
HOU,2011,0.625,0.625,0
HOU,2012,0.5,0.625,0.125
HOU,2013,0.375,0.125,-0.25
HOU,2014,0.625,0.5,-0.125
HOU,2015,0.5,0.625,0.125
HOU,2016,0.285714285714286,0.5,0.214285714285714
HOU,2017,0.375,0.375,0
HOU,2018,0.375,0.5,0.125
HOU,2019,0.571428571428571,0.25,-0.321428571428571
IND,2000,0.5,0.625,0.125
IND,2001,0.375,0.375,0
IND,2002,0.5,0.25,-0.25
IND,2003,0.625,0.5,-0.125
IND,2004,0.5,0.625,0.125
IND,2005,0.875,0.375,-0.5
IND,2006,0.375,0.625,0.25
IND,2007,0.5,0.625,0.125
IND,2008,0.5,0.375,-0.125
IND,2009,0.875,0.375,-0.5
IND,2010,0.5,0.5,0
IND,2011,0.375,0.375,0
IND,2012,0.5,0.75,0.25
IND,2013,0.5,0.625,0.125
IND,2014,0.625,0.625,0
IND,2015,0.5,0.5,0
